issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,We cannot restore access without the workspace owner's or admin's approval. Please contact your IT admin or the workspace owner to reinstate your seat or modify permissions.,conversation_management,Escalated,product_issue,"The request involves account modifications and access control, which requires specialist review and approval from the workspace owner or admin to ensure security and compliance."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We cannot manually adjust test scores or influence hiring decisions. If you have concerns about your test results, please contact the recruiter or the company that invited you to take the test.",assessment,Escalated,product_issue,"The request involves a dispute over test scores and hiring decisions, which requires a specialist review to ensure fairness and accuracy."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"We apologize for the inconvenience you've experienced. However, refund requests and merchant disputes require a thorough review. Please contact our dispute resolution team directly so we can assist you with the next steps.",disputes,Escalated,product_issue,"The issue involves a dispute with a merchant and a request for a refund, which requires a specialist review and potentially involves sensitive account information."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"We apologize for the inconvenience. To assist you with the refund and resolve the issue with your mock interviews, we need to escalate this matter to our specialist team. They will review your case and provide a suitable solution.",assessment,Escalated,bug,"The issue involves a technical problem (mock interviews stopping) and a request for a refund, which requires a specialist review to ensure proper handling and resolution."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,We cannot process payment issues directly. Your issue will be escalated to our billing team for further assistance.,billing,Escalated,product_issue,"The issue involves payment and order ID, which requires sensitive data handling and potentially involves billing policies, thus requiring escalation to a specialist."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"We cannot assist with filling out your company's infosec forms. For assistance with this process, please contact our support team directly.",general_support,Escalated,product_issue,The request involves sensitive company information and requires a specialist review to ensure compliance with HackerRank's policies and procedures.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"To access the 'apply' tab, ensure you are logged in and have selected the correct challenge or contest. If the issue persists, try clearing your browser cache and cookies, then reload the page. If you're still having trouble, provide more details about the challenge or contest you're trying to access.",assessment,Replied,product_issue,"The user is experiencing a common issue with not being able to see the apply tab, which can often be resolved with basic troubleshooting steps."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,We apologize for the inconvenience you're experiencing with submissions not working across any challenges. This issue requires further investigation by our technical team to identify and resolve the root cause.,assessment,Escalated,bug,"The issue described is a technical error affecting the functionality of the platform, specifically with submissions during challenges, which necessitates escalation for specialist review and resolution."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the zoom connectivity issue during the compatibility check, ensure your system meets the minimum requirements for screen sharing and zoom functionality. Check that your browser and operating system are up-to-date, and that you have granted the necessary permissions for screen sharing. If the issue persists, try clearing your browser cache, disabling any VPN or proxy, and restarting your system. If none of these steps resolve the issue, please provide more details about your system configuration and the exact error message you're seeing for further assistance.",screen,Replied,product_issue,"The user is experiencing a specific issue with zoom connectivity during a compatibility check, which is a common issue that can often be resolved with troubleshooting steps related to system configurations and browser settings."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",nan,HackerRank,Rescheduling of assessments typically requires coordination with the company that invited you to take the test. We recommend reaching out to 'Company Name' directly to request a rescheduling. They can provide you with an alternative date and time or guide you on their rescheduling policy.,screen,Escalated,product_issue,"The request involves a specific action (rescheduling) that requires coordination with the inviting company and possibly access to the user's account or test details, which is outside the scope of a standard reply and may involve sensitive information."
